Id,Label,timeset,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,modularity_class,indegree,outdegree,degree
0,03 greedo,,,,,,,,,,,,,,,,,2,28,18,46
1,buddy,,,,,,,,,,,,,,,,,2,55,20,75
2,kenny beats,,,,,,,,,,,,,,,,,2,34,25,59
3,chief keef,,,,,,,,,,,,,,,,,2,129,12,141
4,pnb rock,,yeah,now,bitch,got,swear,know,ain't,niggas,want,love,girl,shit,need,fuck,right,2,132,29,161
5,vince staples,,yeah,know,fuck,ayy,one,tell,now,nigga,baby,night,late,got,back,man,want,2,111,41,152
6,sada baby,,,,,,,,,,,,,,,,,2,87,10,97
7,travis barker,,,,,,,,,,,,,,,,,2,74,39,113
8,nef the pharaoh,,,,,,,,,,,,,,,,,72,33,17,50
9,rich the kid,,sex,bitch,yeah,woo,got,ain't,niggas,money,fuck,go,rich,done,nigga,might,wanna,2,139,41,180
10,yg,,nigga,bitch,love,got,yeah,ain't,ho,niggas,ayy,snitch,know,shit,hoes,i'ma,fuck,2,241,56,297
11,key glock,,,,,,,,,,,,,,,,,2,65,3,68
12,wiz khalifa,,gang,got,special,'em,ain't,'cause,even,niggas,money,hard,yeah,nigga,now,go,treat,2,353,47,400
13,og maco,,,,,,,,,,,,,,,,,2,18,5,23
14,freddie gibbs,,got,bitch,niggas,nigga,phone,yeah,lit,bout,stay,side,time,know,ain't,'em,make,29,128,57,185
15,problem,,,,,,,,,,,,,,,,,72,88,50,138
16,yung bans,,,,,,,,,,,,,,,,,2,21,44,65
17,omb peezy,,,,,,,,,,,,,,,,,72,24,15,39
18,maxo kream,,,,,,,,,,,,,,,,,2,42,27,69
19,070 shake,,,,,,,,,,,,,,,,,2,40,19,59
20,yandel,,,,,,,,,,,,,,,,,5,54,27,81
21,kaytranada,,,,,,,,,,,,,,,,,29,28,14,42
22,polo g,,know,ain't,nigga,shit,got,niggas,make,see,love,gon',tryna,life,fuck,now,'em,2,98,81,179
23,the weeknd,,oh,yeah,know,baby,life,got,girl,ooh,real,now,wanna,love,say,take,best,2,190,17,207
24,lil yachty,,yeah,back,bring,need,gone,bitch,long,always,better,got,love,life,bankroll,want,now,2,210,43,253
25,6lack,,yeah,yea,getting,wanna,know,ain't,shit,love,now,take,got,throwed,one,way,tryna,2,139,21,160
26,big sean,,mama,know,man,yeah,love,got,time,shit,nigga,fuck,oh,take,always,money,back,2,263,53,316
27,anderson .paak,,right,left,know,leftleft,now,come,go,might,ya,got,niggas,life,take,yeah,let,2,146,21,167
28,benee,,,,,,,,,,,,,,,,,2,62,60,122
29,benny blanco,,,,,,,,,,,,,,,,,5,29,38,67
30,anuel aa,,,,,,,,,,,,,,,,,5,65,25,90
31,billie eilish,,,,,,,,,,,,,,,,,2,93,29,122
32,skrillex,,,,,,,,,,,,,,,,,2,61,16,77
33,j balvin,,que,de,y,la,yo,te,m&#237;,lo,ey,le,se,en,el,dime,si,5,207,26,233
34,k camp,,,,,,,,,,,,,,,,,2,94,31,125
35,nle choppa,,yeah,ayy,nigga,got,know,bitch,'em,mmmhmm,niggas,i'ma,shit,fuck,ain't,say,brr,2,156,16,172
36,megan thee stallion,,bitch,yeah,ayy,shit,ain't,bitches,nigga,ah,real,niggas,fuck,know,wanna,bad,back,2,188,23,211
37,tion wayne,,,,,,,,,,,,,,,,,2,112,25,137
38,lancey foux,,,,,,,,,,,,,,,,,2,16,27,43
39,1.cuz,,,,,,,,,,,,,,,,,5,7,12,19
40,dani m,,,,,,,,,,,,,,,,,5,18,0,18
41,stor,,,,,,,,,,,,,,,,,2,14,86,100
42,cleo,,,,,,,,,,,,,,,,,5,11,0,11
43,yasin,,,,,,,,,,,,,,,,,5,16,31,47
44,stress,,,,,,,,,,,,,,,,,5,24,0,24
45,jireel,,,,,,,,,,,,,,,,,5,19,5,24
46,ein&#225;r,,,,,,,,,,,,,,,,,5,13,0,13
47,greekazo,,,,,,,,,,,,,,,,,5,5,13,18
48,lil baby,,got,niggas,ain't,woah,yeah,nigga,go,fuck,know,shit,money,'em,bitches,way,lil,2,313,28,341
49,linda pira,,,,,,,,,,,,,,,,,5,12,37,49
50,fricky,,,,,,,,,,,,,,,,,5,11,44,55
51,dree low,,,,,,,,,,,,,,,,,5,7,23,30
52,100 kila,,,,,,,,,,,,,,,,,28,0,1,1
53,rick ross,,niggas,nigga,got,know,die,young,richest,fast,live,right,money,never,gon',time,every,28,344,66,410
54,12 gauge,,,,,,,,,,,,,,,,,29,1,6,7
55,snak the ripper,,,,,,,,,,,,,,,,,29,22,21,43
56,getter,,,,,,,,,,,,,,,,,2,8,11,19
57,napoleon,,,,,,,,,,,,,,,,,29,32,0,32
58,jae millz,,,,,,,,,,,,,,,,,29,34,25,59
59,ka,,,,,,,,,,,,,,,,,28,11,43,54
60,c-bo,,,,,,,,,,,,,,,,,72,71,13,84
61,12 o'clock,,,,,,,,,,,,,,,,,29,6,31,37
62,big l,,,,,,,,,,,,,,,,,29,37,3,40
63,mathematics,,,,,,,,,,,,,,,,,29,4,19,23
64,killah priest,,,,,,,,,,,,,,,,,29,111,27,138
65,ol' dirty bastard,,dirty,ol',bastard,everybody,sexy,know,shit,yeah,girl,go,nigga,baby,wanna,yo,got,28,110,126,236
66,cappadonna,,,,,,,,,,,,,,,,,29,104,30,134
67,bronze nazareth,,,,,,,,,,,,,,,,,29,53,36,89
68,rza,,,,,,,,,,,,,,,,,29,94,13,107
69,method man,,got,niggas,nigga,man,ya'll,shit,meth,know,house,come,say,ain't,getting,go,'em,29,206,44,250
70,shyheim,,,,,,,,,,,,,,,,,29,35,41,76
71,redman,,zih,time,yo,shit,let,two,good,one,havin',niggas,around,got,ho,feel,yo',29,203,31,234
72,termanology,,see,dead,people,time,got,shit,ain't,home,life,back,last,used,drove,drunk,baby,29,140,71,211
73,kool g rap,,rap,cause,got,gotta,back,g,niggas,go,now,one,see,kool,yo,ain't,know,29,155,68,223
74,gza,,stay,line,got,ya,cold,now,might,shit,see,one,deep,true,cut,world,back,28,101,179,280
75,the notorious b.i.g.,,got,another,one,know,nigga,man,day,big,chance,niggas,shit,bitch,notorious,fuck,sayin',28,148,122,270
76,ali vegas,,,,,,,,,,,,,,,,,29,29,50,79
77,prodigal sunn,,,,,,,,,,,,,,,,,29,33,64,97
78,c-rayz walz,,crayz,walz,im,hook,cause,make,verse,king,chorus,love,got,crack,dont,know,fuck,29,55,95,150
79,inspectah deck,,rec,feel,jones,ya,love,russell,got,right,sweet,life,'em,might,know,keep,call,29,98,185,283
80,tekitha,,,,,,,,,,,,,,,,,29,8,28,36
81,masta killa,,said,date,ya,wit,uh,yo,one,back,allah,now,yea,man,god,shit,yeah,29,62,145,207
82,u-god,,round,yeah,yo,keep,fort,ugod,spinning,room,got,classic,tell,now,come,right,goes,29,45,141,186
83,raekwon,,niggas,yeah,nigga,yo,man,hear,got,see,now,shit,back,real,know,take,might,29,219,46,265
84,60 second assassin,,,,,,,,,,,,,,,,,29,26,57,83
85,planet asia,,shit,know,might,shots,back,make,got,callin,aint,now,wit,im,niggas,time,climbed,29,180,36,216
86,la the darkman,,know,la,money,niggas,yo,yeah,life,fuck,got,love,lucci,now,keep,word,door,29,35,153,188
87,afu-ra,,,,,,,,,,,,,,,,,29,29,39,68
88,sonny seeza,,,,,,,,,,,,,,,,,29,17,59,76
89,j. wells,,,,,,,,,,,,,,,,,72,12,0,12
90,ghostface killah,,yo,got,nigga,love,shit,one,might,'em,right,man,go,ain't,face,niggas,hit,29,179,54,233
91,timbo king,,,,,,,,,,,,,,,,,29,48,70,118
92,2 black 2 strong,,,,,,,,,,,,,,,,,0,0,0,0
93,2 chainz,,one,dawg,em,erry,got,niggas,nigga,yeah,im,live,told,will,back,pussy,die,2,333,83,416
94,42 dugg,,,,,,,,,,,,,,,,,2,108,18,126
95,monica,,,,,,,,,,,,,,,,,28,55,14,69
96,jeezy,,nigga,know,ain't,shit,bitch,yeah,niggas,street,cred,make,tell,got,right,'em,hood,28,185,73,258
97,pharrell williams,,cash,girl,young,shit,love,supposed,got,earth,raspy,niggas,back,come,nigga,know,hey,28,250,78,328
98,kanye west,,nigga,day,girl,say,know,now,love,real,sky,new,still,west,feel,kanye,got,2,214,42,256
99,kevin gates,,ain't,right,say,yeah,got,mind,know,love,never,fuck,dick,bitch,back,shit,'em,2,202,15,217
100,t-pain,,yeah,look,dawg,oh,studio,baby,fall,yuh,tell,now,shit,girl,snapping,ooh,ain't,28,219,51,270
101,future,,yeah,ain't,got,see,love,know,diamonds,nigga,came,face,leave,broke,mad,fuck,crushed,2,310,61,371
102,t.i.,,know,ayy,man,say,nigga,boy,shit,ain't,ti,way,niggas,yeah,money,big,got,28,239,92,331
103,latto,,,,,,,,,,,,,,,,,2,104,26,130
104,dj drama,,back,nigga,right,i'ma,got,know,niggas,yeah,make,bitch,ain't,shit,act,gon,catch,28,62,124,186
105,quando rondo,,,,,,,,,,,,,,,,,2,75,14,89
106,mozzy,,nigga,ain't,know,niggas,shit,yeah,lil',got,love,baby,whole,live,dont,way,never,72,115,55,170
107,iamsu!,,,,,,,,,,,,,,,,,72,81,13,94
108,yung joc,,see,got,know,nigga,joc,niggas,ain't,money,keep,da,bitch,yeah,tell,dope,love,28,90,153,243
109,project pat,,,,,,,,,,,,,,,,,28,99,32,131
110,trey songz,,tonight,know,love,got,yeah,baby,come,want,oh,shit,time,wanna,nigga,need,way,28,186,31,217
111,baby tate,,,,,,,,,,,,,,,,,2,76,9,85
112,lil duval,,,,,,,,,,,,,,,,,2,20,87,107
113,french montana,,money,go,big,nigga,rip,new,baby,niggas,gotta,oh,one,got,know,never,boy,2,211,105,316
114,quavo,,yeah,white,got,talk,go,lamb,black,nigga,two,woo,bitch,shit,uh,skrrt,gon',2,224,39,263
115,skooly,,,,,,,,,,,,,,,,,2,18,10,28
116,rich homie quan,,,,,,,,,,,,,,,,,2,73,19,92
